query,source,source_type,author,author_handle,author_verified,title,text,language,hashtags,mentions,media_type,like_count,view_count,comment_count,share_count,repost_count,reaction_count,publication_time,fetch_time,original_url,final_score,relevance,freshness,engagement,social_reach,source_confidence,cross_source_presence,duplicate_group,cluster
العراق,github,repository,AbdullahAbbas77,,,AbdullahAbbas77/noni,اسمي عبدالله من العراق و صنعت لعبه صغيره تحشيشيه حلةه باسم السايق السكران,ar,,,,,,0,,,,2026-08-06T23:47:46,2026-08-08T21:32:41.330347,https://github.com/AbdullahAbbas77/noni,37.95,69.75,51.65,0.0,,75.0,0.0,,f8764d47-3f1d-4117-ab4f-025c9a8dc498
العراق,github,repository,alazhyrykhbyb-creator,,,alazhyrykhbyb-creator/-,موقع تعديل الصور باحدث ادوات الذكاء الاصطناعي في العراق 🇮🇶,ar,,,,,,0,,,,2026-07-31T14:49:39,2026-08-08T21:32:41.330361,https://github.com/alazhyrykhbyb-creator/-,33.55,69.87,5.67,0.0,,75.0,0.0,,c500f808-49e7-47f5-8c92-604fb2218c51
العراق,github,repository,alihadli,,,alihadli/khan-aliraq, تطبيق خان العراق - منصة التجارة الإلكترونية ,ar,,,,,,0,,,,2026-07-21T02:28:16,2026-08-08T21:32:41.330394,https://github.com/alihadli/khan-aliraq,33.09,70.0,0.15,0.0,,75.0,0.0,,eb4aca8e-e321-4907-a775-d1d375487df1
العراق,github,repository,results-zummar,,,results-zummar/results-zummar,موقع نتائج الامتحانات الوزارية في العراق,ar,,,,,,0,,,,2026-07-13T21:37:34,2026-08-08T21:32:41.330405,https://github.com/results-zummar/results-zummar,33.02,69.91,0.01,0.0,,75.0,0.0,,dc414c46-8f73-4933-b157-68969cad4867
العراق,github,repository,almobd3com,,,almobd3com/almbd3com,منصة المبدع التعليمية تهدف إلى توفير كل ما يحتاجه الطالب في العراق من ملازم وكتب ومراجعات مركزة. شبكة المبدع، موقع المبدع.,ar,,,,,,0,,,,2026-07-27T19:41:05,2026-08-08T21:32:41.330376,https://github.com/almobd3com/almbd3com,32.88,69.43,1.52,0.0,,75.0,0.0,,3eb56403-6bc9-45a4-bf38-e07bfcd62704
العراق,github,repository,ardalhadi26-tech,,,ardalhadi26-tech/United-Companies,نظام كامل لشركه نقل غاز في العراق شركه الناقلات النموذجيه لنقل المنتوجات النفطيه المحدوده,ar,,,,,,0,,,,2026-07-19T14:13:08,2026-08-08T21:32:41.330402,https://github.com/ardalhadi26-tech/United-Companies,32.83,69.58,0.09,0.0,,75.0,0.0,,fa65ca41-79a7-4f61-9176-684c15d7a33d
العراق,github,repository,alazreeaqeel-ship-it,,,alazreeaqeel-ship-it/Saas-QR,مينوزي (Menozy) — النظام الرقمي المتكامل لإدارة المطاعم والكافيهات والفنادق في العراق. • قائمة طعام رقمية عبر رمز QR على كل طاولة • استقبال الطلبات وتتبّعها لحظة بلحظة • شاشة مطبخ وطباعة فواتير حرارية • لوحة تحكم للمبيعات والتقارير • دعم عربي وكردي وإنجليزي، دفع نقدي/إلكتروني/تحويل بنكي ابدأ خلال دقائق — تجربة مجانية ٣٠ يوماً بدون بطاقة.,ar,,,,,,0,,,,2026-07-30T12:04:28,2026-08-08T21:32:41.330366,https://github.com/alazreeaqeel-ship-it/Saas-QR,32.36,68.19,3.85,0.0,,75.0,0.0,,24d997ed-ca8f-4745-b7e3-9321f1c65f6a
العراق,github,repository,SeeYou0128,,,SeeYou0128/souq-al-iraq-releases,توزيع نسخ تطبيق سوق العراق (APK),ar,,,,,,0,,,,2026-07-23T08:53:04,2026-08-08T21:32:41.330385,https://github.com/SeeYou0128/souq-al-iraq-releases,28.05,69.91,0.33,0.0,,75.0,0.0,,9dc056b8-a946-41a5-b478-cb902679a3c3
العراق,github,repository,minbalad2020-stack,,,minbalad2020-stack/zekaa-iraq,منصة ذكاء العراق للذكاء الاصطناعي,ar,,,,,,0,,,,2026-07-11T14:36:02,2026-08-08T21:32:41.330408,https://github.com/minbalad2020-stack/zekaa-iraq,28.05,69.96,0.01,0.0,,75.0,0.0,,1bd07134-f5df-48a9-808f-5be27a144103
